Age,City,Gender,Income,Education,Occupation/Job,Geophysical Location,Tech Level,Disability,Budget,Usage Frequency
21,Lucknow,Non-binary,1925547,Secondary education,Farmer,Sub-urban,Low,Visual impairment (Blind),16716,Weekly
32,Vadodara,Male,389507,Undergraduate degree,Businessperson,Sub-urban,Low,Mobility impairment,56964,Daily
37,Pune,Female,374431,Secondary education,Unemployed,Sub-urban,Low,Visual impairment (Blind),44065,Weekly
36,Vadodara,Female,1903617,Undergraduate degree,Technician,Urban,High,Visual impairment (Blind),64737,Weekly
27,Hyderabad,Female,1181805,Primary education,Artist,Rural,Low,Cognitive impairment,74372,Daily
34,Patna,Female,653183,No formal education,Doctor,Sub-urban,Medium,Visual impairment (Blind),40273,Monthly
25,Jaipur,Male,1585244,No formal education,Artist,Rural,High,Visual impairment (Blind),97106,Daily
68,Thane,Non-binary,1423288,No formal education,Engineer,Rural,Low,Cognitive impairment,78691,Daily
64,Chennai,Non-binary,1760945,Primary education,Engineer,Sub-urban,Medium,Cognitive impairment,75781,Monthly
47,Thane,Male,355393,Secondary education,Farmer,Rural,Low,Cognitive impairment,41878,Monthly
40,Visakhapatnam,Female,1986709,Postgraduate degree,Technician,Urban,Low,Visual impairment (Blind),27472,Daily
27,Thane,Non-binary,1209455,Secondary education,Businessperson,Urban,Low,Visual impairment (Blind),83285,Weekly
28,Nagpur,Non-binary,759695,Secondary education,Farmer,Rural,Medium,Visual impairment (Blind),66432,Daily
63,Nagpur,Male,1680104,No formal education,Teacher,Urban,Low,Hearing impairment,99107,Daily
27,Kanpur,Male,256232,No formal education,Artist,Rural,Low,Mobility impairment,67164,Weekly
22,Bhopal,Non-binary,1073699,Undergraduate degree,Businessperson,Rural,Medium,Visual impairment (Blind),5063,Weekly
44,Indore,Female,1420616,No formal education,Student,Urban,High,Mobility impairment,40119,Daily
69,Bengaluru,Non-binary,643161,Postgraduate degree,Farmer,Sub-urban,High,Visual impairment (Blind),74625,Daily
54,Pimpri-Chinchwad,Non-binary,649870,Secondary education,Farmer,Rural,Low,Hearing impairment,5425,Monthly
61,Patna,Male,595167,Primary education,Farmer,Sub-urban,Low,Hearing impairment,55271,Monthly
68,Mumbai,Female,1625334,Undergraduate degree,Engineer,Sub-urban,High,Speech impairment,60007,Daily
59,Chennai,Male,428040,Postgraduate degree,Businessperson,Urban,High,Hearing impairment,65943,Weekly
55,Pune,Female,1754597,No formal education,Student,Rural,Low,Speech impairment,88041,Monthly
50,Patna,Male,1882749,Undergraduate degree,Doctor,Sub-urban,High,Cognitive impairment,59582,Monthly
46,Pimpri-Chinchwad,Male,569985,Primary education,Doctor,Rural,Low,Mobility impairment,71026,Weekly
29,Visakhapatnam,Female,777197,No formal education,Businessperson,Sub-urban,Low,Cognitive impairment,77156,Weekly
47,Kolkata,Non-binary,590917,Primary education,Teacher,Sub-urban,Medium,Cognitive impairment,39696,Daily
65,Chennai,Male,1969820,Postgraduate degree,Farmer,Urban,Low,Visual impairment (Blind),49669,Weekly
80,Delhi,Non-binary,1867330,Secondary education,Doctor,Sub-urban,Medium,Cognitive impairment,87422,Weekly
23,Bengaluru,Male,637001,Undergraduate degree,Farmer,Urban,High,Speech impairment,16447,Daily
59,Surat,Female,1218728,Secondary education,Doctor,Rural,Low,Mobility impairment,48335,Monthly
67,Nagpur,Female,1616190,No formal education,Artist,Rural,Medium,Visual impairment (Blind),24353,Weekly
47,Hyderabad,Male,944528,No formal education,Unemployed,Sub-urban,Medium,Mobility impairment,14665,Weekly
55,Lucknow,Female,1466039,Primary education,Farmer,Rural,Medium,Hearing impairment,60144,Monthly
34,Nagpur,Male,775706,No formal education,Unemployed,Urban,High,Speech impairment,86652,Weekly
44,Mumbai,Non-binary,1537694,Postgraduate degree,Engineer,Sub-urban,High,Cognitive impairment,53962,Weekly
76,Bengaluru,Female,1198875,Primary education,Engineer,Urban,High,Visual impairment (Blind),9677,Weekly
72,Kanpur,Non-binary,1213490,Secondary education,Businessperson,Sub-urban,Medium,Mobility impairment,83550,Weekly
25,Pimpri-Chinchwad,Non-binary,695541,Postgraduate degree,Farmer,Sub-urban,Low,Visual impairment (Blind),49545,Daily
70,Lucknow,Male,1313916,Postgraduate degree,Artist,Sub-urban,High,Hearing impairment,45792,Monthly
44,Kanpur,Female,579545,Secondary education,Technician,Urban,Medium,Cognitive impairment,49371,Monthly
76,Patna,Female,386445,Primary education,Businessperson,Urban,High,Cognitive impairment,74632,Weekly
70,Lucknow,Non-binary,802810,Undergraduate degree,Unemployed,Urban,Medium,Hearing impairment,6665,Daily
71,Bengaluru,Male,722769,Undergraduate degree,Student,Urban,High,Cognitive impairment,99497,Monthly
21,Pimpri-Chinchwad,Male,326328,Secondary education,Businessperson,Sub-urban,Low,Visual impairment (Blind),17467,Weekly
48,Ahmedabad,Non-binary,823755,Primary education,Teacher,Urban,Medium,Hearing impairment,36224,Daily
68,Pune,Non-binary,1848993,Undergraduate degree,Artist,Sub-urban,Low,Hearing impairment,75630,Daily
18,Mumbai,Male,791166,Postgraduate degree,Artist,Urban,High,Speech impairment,51731,Weekly
51,Pune,Female,1367859,Secondary education,Unemployed,Sub-urban,Low,Mobility impairment,98479,Daily
76,Visakhapatnam,Female,613610,Primary education,Unemployed,Rural,Medium,Cognitive impairment,45526,Daily
48,Lucknow,Female,223947,No formal education,Doctor,Sub-urban,Medium,Speech impairment,95983,Monthly
52,Kolkata,Male,580455,Secondary education,Teacher,Urban,Medium,Hearing impairment,38031,Daily
22,Pune,Non-binary,113862,No formal education,Student,Urban,High,Cognitive impairment,69278,Monthly
71,Pimpri-Chinchwad,Male,1151421,No formal education,Artist,Sub-urban,Low,Cognitive impairment,37469,Daily
39,Mumbai,Female,1946550,Secondary education,Teacher,Rural,Low,Hearing impairment,95423,Weekly
67,Delhi,Male,1450364,Secondary education,Technician,Urban,High,Speech impairment,89719,Monthly
42,Vadodara,Non-binary,468173,Primary education,Doctor,Rural,Low,Hearing impairment,66552,Daily
56,Delhi,Non-binary,1744104,Secondary education,Farmer,Rural,Medium,Speech impairment,77061,Daily
26,Chennai,Non-binary,933149,Postgraduate degree,Unemployed,Rural,Medium,Hearing impairment,89429,Daily
24,Ahmedabad,Female,1226043,Primary education,Engineer,Sub-urban,Low,Visual impairment (Blind),8994,Daily
65,Jaipur,Male,1554960,Undergraduate degree,Artist,Sub-urban,High,Visual impairment (Blind),96877,Daily
68,Ahmedabad,Male,661469,Secondary education,Unemployed,Rural,Low,Visual impairment (Blind),82373,Monthly
19,Indore,Non-binary,412427,No formal education,Engineer,Rural,Low,Cognitive impairment,62776,Weekly
60,Jaipur,Non-binary,408087,Undergraduate degree,Farmer,Rural,Medium,Mobility impairment,43452,Monthly
24,Lucknow,Non-binary,361005,Primary education,Student,Urban,Medium,Hearing impairment,46452,Daily
33,Nagpur,Non-binary,197672,Postgraduate degree,Farmer,Rural,High,Speech impairment,83201,Monthly
45,Ahmedabad,Male,992468,Undergraduate degree,Student,Urban,Low,Cognitive impairment,45756,Daily
44,Kanpur,Non-binary,519975,Primary education,Teacher,Rural,Low,Mobility impairment,13323,Weekly
67,Kolkata,Non-binary,1314449,Secondary education,Farmer,Rural,Medium,Hearing impairment,51368,Monthly
23,Kanpur,Male,1656008,Undergraduate degree,Businessperson,Sub-urban,Medium,Cognitive impairment,58411,Monthly
50,Indore,Male,773744,Primary education,Teacher,Urban,Medium,Speech impairment,92405,Weekly
30,Ahmedabad,Female,135945,No formal education,Teacher,Rural,Low,Hearing impairment,67806,Weekly
26,Indore,Female,808670,Undergraduate degree,Engineer,Urban,Medium,Hearing impairment,16938,Weekly
27,Delhi,Female,1932964,Undergraduate degree,Student,Rural,Low,Mobility impairment,60911,Daily
55,Thane,Male,1475021,Postgraduate degree,Engineer,Urban,High,Cognitive impairment,29599,Weekly
52,Mumbai,Non-binary,1100377,Primary education,Engineer,Urban,Medium,Hearing impairment,98206,Weekly
30,Nagpur,Non-binary,1792945,Secondary education,Technician,Urban,Low,Mobility impairment,59900,Daily
49,Delhi,Female,1619649,Undergraduate degree,Unemployed,Urban,Medium,Mobility impairment,75872,Daily
34,Jaipur,Male,988515,Postgraduate degree,Engineer,Rural,High,Cognitive impairment,30505,Weekly
75,Kanpur,Female,726122,Postgraduate degree,Technician,Sub-urban,Medium,Speech impairment,10461,Monthly
26,Ahmedabad,Female,321426,Primary education,Unemployed,Sub-urban,Medium,Hearing impairment,56563,Daily
27,Mumbai,Male,1688661,Undergraduate degree,Student,Sub-urban,Low,Hearing impairment,40003,Monthly
72,Kolkata,Non-binary,591786,Secondary education,Student,Sub-urban,High,Speech impairment,62496,Weekly
63,Bhopal,Female,398899,Secondary education,Unemployed,Sub-urban,Low,Speech impairment,37599,Daily
44,Mumbai,Non-binary,1301994,Postgraduate degree,Businessperson,Sub-urban,Medium,Visual impairment (Blind),87070,Weekly
43,Ahmedabad,Non-binary,1240999,Secondary education,Businessperson,Sub-urban,High,Hearing impairment,22738,Daily
37,Indore,Male,855619,No formal education,Unemployed,Rural,Low,Speech impairment,86322,Weekly
40,Surat,Non-binary,1190688,Secondary education,Artist,Rural,Medium,Hearing impairment,85463,Monthly
31,Bengaluru,Male,1813791,No formal education,Businessperson,Urban,High,Visual impairment (Blind),8131,Monthly
61,Bengaluru,Male,1619697,Undergraduate degree,Artist,Rural,Medium,Hearing impairment,71741,Monthly
79,Hyderabad,Female,1817906,Secondary education,Farmer,Rural,Medium,Speech impairment,80729,Monthly
63,Chennai,Male,1697740,Postgraduate degree,Student,Rural,High,Visual impairment (Blind),70882,Weekly
36,Patna,Male,834072,Secondary education,Student,Sub-urban,Low,Mobility impairment,27522,Daily
24,Vadodara,Female,1129016,Postgraduate degree,Unemployed,Urban,High,Speech impairment,67738,Daily
42,Kolkata,Female,1174844,Undergraduate degree,Technician,Sub-urban,Medium,Mobility impairment,43584,Monthly
78,Ahmedabad,Non-binary,409110,Primary education,Technician,Rural,Medium,Cognitive impairment,86784,Monthly
29,Bhopal,Male,896915,Undergraduate degree,Doctor,Rural,High,Visual impairment (Blind),60186,Monthly
67,Kolkata,Non-binary,1423970,No formal education,Doctor,Rural,Low,Speech impairment,15296,Weekly
69,Bhopal,Female,1174732,No formal education,Artist,Sub-urban,Medium,Cognitive impairment,47200,Monthly
50,Jaipur,Male,1737574,Postgraduate degree,Doctor,Sub-urban,High,Speech impairment,26914,Monthly
79,Hyderabad,Non-binary,1431005,Primary education,Teacher,Rural,Medium,Visual impairment (Blind),53932,Daily
33,Lucknow,Male,1613002,Secondary education,Businessperson,Rural,Medium,Hearing impairment,58132,Monthly
67,Jaipur,Non-binary,754135,Undergraduate degree,Artist,Sub-urban,Medium,Hearing impairment,42908,Daily
20,Bhopal,Non-binary,530155,Postgraduate degree,Doctor,Rural,High,Cognitive impairment,66622,Monthly
47,Delhi,Non-binary,1726163,Secondary education,Engineer,Rural,High,Hearing impairment,15343,Weekly
50,Ahmedabad,Male,250041,No formal education,Doctor,Rural,Low,Cognitive impairment,6016,Monthly
80,Vadodara,Non-binary,758551,Primary education,Unemployed,Sub-urban,Medium,Hearing impairment,33481,Daily
18,Delhi,Non-binary,934420,Undergraduate degree,Farmer,Rural,Low,Speech impairment,23230,Weekly
57,Bhopal,Non-binary,474585,Secondary education,Farmer,Urban,Low,Cognitive impairment,89665,Monthly
58,Visakhapatnam,Male,460142,Primary education,Doctor,Rural,Low,Speech impairment,29786,Weekly
34,Visakhapatnam,Male,778407,Primary education,Student,Urban,Medium,Mobility impairment,94560,Daily
65,Thane,Female,459691,Undergraduate degree,Farmer,Rural,Medium,Speech impairment,70017,Daily
68,Delhi,Non-binary,1745380,No formal education,Student,Sub-urban,Low,Hearing impairment,57117,Monthly
75,Mumbai,Non-binary,1481985,Postgraduate degree,Unemployed,Sub-urban,High,Cognitive impairment,24948,Monthly
67,Kanpur,Male,447928,Undergraduate degree,Artist,Rural,High,Visual impairment (Blind),41838,Daily
39,Delhi,Non-binary,457353,Secondary education,Unemployed,Urban,Medium,Hearing impairment,91192,Daily
35,Hyderabad,Non-binary,630622,No formal education,Doctor,Rural,High,Mobility impairment,64541,Daily
53,Jaipur,Non-binary,636093,Secondary education,Artist,Sub-urban,Low,Visual impairment (Blind),66509,Weekly
40,Pune,Female,1756431,Primary education,Artist,Rural,High,Mobility impairment,58544,Weekly
34,Visakhapatnam,Non-binary,184311,Undergraduate degree,Farmer,Sub-urban,Medium,Hearing impairment,12834,Weekly
21,Kolkata,Female,1501952,Postgraduate degree,Unemployed,Sub-urban,High,Cognitive impairment,75677,Weekly
48,Jaipur,Non-binary,1034947,Primary education,Doctor,Rural,High,Hearing impairment,63351,Daily
70,Patna,Male,969850,No formal education,Farmer,Sub-urban,Medium,Cognitive impairment,30877,Weekly
35,Kolkata,Non-binary,1431315,Postgraduate degree,Engineer,Sub-urban,Low,Visual impairment (Blind),31477,Monthly
52,Jaipur,Female,1850957,Secondary education,Unemployed,Rural,Medium,Mobility impairment,8609,Daily
76,Indore,Male,934108,Primary education,Unemployed,Rural,Low,Visual impairment (Blind),29491,Daily
61,Visakhapatnam,Non-binary,1888275,Primary education,Farmer,Sub-urban,Low,Visual impairment (Blind),8625,Daily
60,Pimpri-Chinchwad,Non-binary,612104,Undergraduate degree,Unemployed,Sub-urban,Low,Mobility impairment,22281,Weekly
74,Chennai,Male,1242560,Postgraduate degree,Teacher,Urban,High,Mobility impairment,13584,Monthly
72,Kanpur,Female,1274898,Postgraduate degree,Businessperson,Rural,High,Cognitive impairment,41551,Weekly
48,Chennai,Male,1285000,Primary education,Engineer,Sub-urban,Medium,Hearing impairment,23243,Weekly
34,Pune,Female,1915857,Undergraduate degree,Teacher,Sub-urban,Medium,Speech impairment,13100,Monthly
54,Mumbai,Non-binary,1184049,Postgraduate degree,Technician,Sub-urban,Medium,Hearing impairment,64057,Weekly
51,Delhi,Non-binary,1861000,No formal education,Engineer,Urban,Medium,Cognitive impairment,5726,Weekly
75,Bengaluru,Female,1341888,Postgraduate degree,Artist,Rural,Low,Cognitive impairment,72509,Weekly
50,Bengaluru,Non-binary,1806432,Primary education,Doctor,Sub-urban,Low,Cognitive impairment,45351,Weekly
31,Bhopal,Non-binary,1027897,Postgraduate degree,Businessperson,Sub-urban,Medium,Speech impairment,25011,Daily
69,Thane,Non-binary,791432,Undergraduate degree,Businessperson,Sub-urban,Low,Mobility impairment,68039,Monthly
67,Indore,Male,480551,Postgraduate degree,Unemployed,Rural,Low,Hearing impairment,50364,Weekly
73,Mumbai,Male,1750537,Undergraduate degree,Engineer,Rural,Medium,Visual impairment (Blind),29791,Daily
41,Visakhapatnam,Female,254989,No formal education,Businessperson,Rural,Low,Cognitive impairment,5586,Daily
75,Chennai,Non-binary,889026,Undergraduate degree,Farmer,Urban,Medium,Cognitive impairment,74634,Daily
18,Patna,Male,1432000,Undergraduate degree,Doctor,Rural,Low,Hearing impairment,60797,Weekly
60,Visakhapatnam,Female,457521,Primary education,Doctor,Rural,Low,Cognitive impairment,35745,Monthly
72,Thane,Male,421144,Primary education,Teacher,Urban,Medium,Cognitive impairment,88542,Daily
77,Mumbai,Non-binary,363786,Secondary education,Doctor,Rural,Medium,Visual impairment (Blind),20319,Monthly
18,Vadodara,Female,1991010,Primary education,Artist,Sub-urban,Medium,Cognitive impairment,89133,Daily
71,Surat,Female,262050,Primary education,Unemployed,Urban,Low,Speech impairment,96539,Daily
49,Delhi,Non-binary,1107152,Secondary education,Artist,Sub-urban,Medium,Speech impairment,61748,Monthly
75,Visakhapatnam,Male,647567,Postgraduate degree,Doctor,Urban,Medium,Cognitive impairment,80115,Weekly
55,Ahmedabad,Non-binary,504839,Postgraduate degree,Doctor,Rural,Low,Visual impairment (Blind),6204,Monthly
45,Kolkata,Non-binary,1029944,Undergraduate degree,Farmer,Sub-urban,Medium,Hearing impairment,38619,Monthly
23,Thane,Non-binary,1129934,No formal education,Farmer,Urban,Medium,Cognitive impairment,35345,Monthly
36,Thane,Female,1733602,Undergraduate degree,Unemployed,Rural,High,Hearing impairment,60631,Daily
22,Kolkata,Female,879286,Secondary education,Farmer,Rural,Low,Hearing impairment,9881,Monthly
34,Nagpur,Non-binary,1796509,Secondary education,Artist,Rural,Low,Speech impairment,43537,Daily
36,Mumbai,Non-binary,484095,Secondary education,Unemployed,Urban,High,Speech impairment,98135,Weekly
51,Pimpri-Chinchwad,Non-binary,1164670,No formal education,Student,Urban,High,Cognitive impairment,28256,Daily
40,Kolkata,Non-binary,1895848,No formal education,Farmer,Sub-urban,High,Cognitive impairment,25201,Monthly
60,Kolkata,Male,1125463,Undergraduate degree,Unemployed,Sub-urban,Low,Mobility impairment,27875,Daily
27,Hyderabad,Non-binary,976819,Undergraduate degree,Teacher,Sub-urban,Medium,Visual impairment (Blind),47973,Weekly
67,Jaipur,Female,253635,Primary education,Engineer,Urban,High,Mobility impairment,94991,Weekly
33,Thane,Non-binary,1796951,Postgraduate degree,Businessperson,Urban,Medium,Cognitive impairment,91083,Monthly
51,Pune,Male,1747601,Primary education,Artist,Urban,High,Speech impairment,10615,Weekly
67,Jaipur,Non-binary,1827610,Primary education,Teacher,Sub-urban,Medium,Hearing impairment,94351,Monthly
71,Nagpur,Female,632002,Postgraduate degree,Teacher,Sub-urban,Medium,Visual impairment (Blind),16226,Monthly
46,Delhi,Non-binary,319596,No formal education,Unemployed,Rural,Medium,Speech impairment,11481,Monthly
66,Nagpur,Non-binary,1256106,Undergraduate degree,Artist,Urban,Medium,Hearing impairment,62772,Weekly
49,Bhopal,Female,1784200,Primary education,Doctor,Sub-urban,Low,Cognitive impairment,24737,Daily
32,Pune,Male,936192,Postgraduate degree,Engineer,Sub-urban,Low,Hearing impairment,14820,Daily
60,Indore,Male,348443,Postgraduate degree,Teacher,Sub-urban,Medium,Speech impairment,71908,Weekly
28,Pune,Male,761260,Postgraduate degree,Unemployed,Sub-urban,Medium,Cognitive impairment,46143,Monthly
71,Jaipur,Female,683438,No formal education,Student,Sub-urban,Low,Visual impairment (Blind),43122,Weekly
20,Pimpri-Chinchwad,Female,1428124,Undergraduate degree,Teacher,Rural,Low,Mobility impairment,39593,Daily
64,Jaipur,Non-binary,693780,Undergraduate degree,Teacher,Sub-urban,Low,Speech impairment,74344,Weekly
76,Pune,Male,794075,Primary education,Businessperson,Sub-urban,Low,Mobility impairment,87047,Monthly
66,Hyderabad,Non-binary,1276379,Secondary education,Teacher,Urban,Medium,Visual impairment (Blind),66344,Monthly
43,Patna,Male,1992338,Primary education,Technician,Rural,Medium,Cognitive impairment,88768,Daily
25,Kanpur,Non-binary,968297,Secondary education,Doctor,Sub-urban,High,Cognitive impairment,76200,Monthly
40,Bhopal,Female,1475348,Postgraduate degree,Doctor,Sub-urban,Low,Visual impairment (Blind),82036,Monthly
38,Lucknow,Non-binary,1505568,No formal education,Farmer,Rural,Low,Hearing impairment,93498,Weekly
40,Hyderabad,Female,1170638,No formal education,Artist,Rural,High,Mobility impairment,20365,Weekly
40,Thane,Female,1312529,Postgraduate degree,Doctor,Rural,Medium,Mobility impairment,80561,Daily
28,Delhi,Male,331769,Postgraduate degree,Artist,Sub-urban,High,Cognitive impairment,57275,Weekly
73,Nagpur,Female,1202546,Primary education,Teacher,Urban,High,Visual impairment (Blind),10433,Weekly
38,Lucknow,Non-binary,1042460,Postgraduate degree,Farmer,Sub-urban,High,Hearing impairment,46186,Daily
68,Nagpur,Male,1914579,Undergraduate degree,Doctor,Rural,High,Visual impairment (Blind),82606,Weekly
26,Indore,Male,1640048,Primary education,Teacher,Urban,High,Visual impairment (Blind),34157,Weekly
60,Bengaluru,Female,931665,Secondary education,Student,Sub-urban,High,Speech impairment,46139,Daily
47,Kolkata,Male,1529291,Postgraduate degree,Engineer,Sub-urban,High,Visual impairment (Blind),37499,Monthly
26,Jaipur,Male,1757334,Secondary education,Engineer,Rural,High,Cognitive impairment,26124,Daily
56,Kolkata,Female,1942456,Undergraduate degree,Teacher,Sub-urban,Medium,Speech impairment,46086,Daily
20,Mumbai,Non-binary,1698153,Secondary education,Businessperson,Urban,Medium,Cognitive impairment,98400,Daily
28,Delhi,Non-binary,1443393,Secondary education,Farmer,Sub-urban,Medium,Hearing impairment,69671,Monthly
59,Chennai,Non-binary,1117080,No formal education,Unemployed,Urban,Medium,Hearing impairment,99819,Weekly
68,Bhopal,Female,1701674,Postgraduate degree,Student,Rural,High,Visual impairment (Blind),47106,Monthly
41,Kanpur,Female,757463,Undergraduate degree,Artist,Sub-urban,High,Mobility impairment,53690,Weekly
80,Kanpur,Male,1381488,Postgraduate degree,Artist,Rural,Low,Speech impairment,53589,Daily
58,Lucknow,Female,656634,Primary education,Doctor,Rural,Medium,Visual impairment (Blind),22282,Weekly
20,Surat,Female,613091,No formal education,Farmer,Sub-urban,Medium,Cognitive impairment,97300,Monthly
76,Hyderabad,Non-binary,466768,Primary education,Doctor,Rural,High,Hearing impairment,51896,Monthly
